id,status,from,to,subject,cycle_or_level
HG2S_EN_104,kept,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.21,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.21,histoire-géo,8eme_EB
HG2S_KK_105,kept,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.21,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.21,histoire-géo,8eme_EB
HG3S_FR_106,kept,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.16,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.16,histoire-géo,1ere_HS
HG3S_LN_107,kept,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.16,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.16,histoire-géo,1ere_HS
HG3S_SW_108,kept,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.16,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.16,histoire-géo,1ere_HS
HG3S_EN_109,kept,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.19,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.19,histoire-géo,1ere_HS
HG3S_FR_110,kept,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.22,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.22,histoire-géo,1ere_HS
MA1S_FR_111,kept,PE7-MATH.pdf#p.7,PE7-MATH.pdf#p.7,mathématiques,7eme_EB
MA1S_EN_112,kept,PE7-MATH.pdf#p.12,PE7-MATH.pdf#p.12,mathématiques,7eme_EB
MA1S_LN_113,kept,PE7-MATH.pdf#p.9,PE7-MATH.pdf#p.9,mathématiques,7eme_EB
MA1S_SW_114,kept,PE7-MATH.pdf#p.8,PE7-MATH.pdf#p.8,mathématiques,7eme_EB
MA1S_KK_115,kept,PE7-MATH.pdf#p.14,PE7-MATH.pdf#p.14,mathématiques,7eme_EB
MA1S_TSH_116,kept,PE7-MATH.pdf#p.10,PE7-MATH.pdf#p.10,mathématiques,7eme_EB
MA1S_FR_117,kept,PE7-MATH.pdf#p.12,PE7-MATH.pdf#p.12,mathématiques,7eme_EB
MA1S_EN_118,kept,PE7-MATH.pdf#p.18,PE7-MATH.pdf#p.18,mathématiques,7eme_EB
MA2S_FR_119,kept,PE8-MATH-16062019_DIPROMAD_MEPSP.pdf#p.6,PE8-MATH-16062019_DIPROMAD_MEPSP.pdf#p.6,mathématiques,8eme_EB
MA2S_LN_120,kept,PE8-MATH-16062019_DIPROMAD_MEPSP.pdf#p.14,PE8-MATH-16062019_DIPROMAD_MEPSP.pdf#p.14,mathématiques,8eme_EB
MA2S_SW_121,kept,PE8-MATH-16062019_DIPROMAD_MEPSP.pdf#p.9,PE8-MATH-16062019_DIPROMAD_MEPSP.pdf#p.9,mathématiques,8eme_EB
MA2S_EN_122,kept,PE8-MATH-16062019_DIPROMAD_MEPSP.pdf#p.12,PE8-MATH-16062019_DIPROMAD_MEPSP.pdf#p.12,mathématiques,8eme_EB
MA2S_FR_123,kept,PE8-MATH-16062019_DIPROMAD_MEPSP.pdf#p.16,PE8-MATH-16062019_DIPROMAD_MEPSP.pdf#p.16,mathématiques,8eme_EB
MA3S_FR_124,kept,MEPST_GUIDE_-PE3_MATH.pdf#p.5,MEPST_GUIDE_-PE3_MATH.pdf#p.5,mathématiques,1ere_HS
MA3S_EN_125,kept,MEPST_GUIDE_-PE3_MATH.pdf#p.8,MEPST_GUIDE_-PE3_MATH.pdf#p.8,mathématiques,1ere_HS
FR1S_FR_126,kept,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.9,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.9,français,7eme_EB
FR1S_LN_127,kept,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.12,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.12,français,7eme_EB
FR1S_EN_128,kept,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.6,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.6,français,7eme_EB
