id,file_path,titre,source_url,langue,grade_level,matiere,type_doc,checksum,licence,ingested,validated,notes
Normes-architecturales-et-de-fonctionnement-dun-resume_rapport_final_2017.pdf,Normes architecturales et de fonctionnement dun resume rapport final 2017,Normes Architecturales Et De Fonctionnement Dun Resume Rapport Final 2017,https://educrdc.cd/programmes,francais,general,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
RECUEIL-DE-NORMES-DE-LENSEIGNEMENT-PRESCOLAIRE-EN-REPUBLIQUE-DEMOCRATIQUE-DU-CONGO-06.06.2022-FI.pdf,RECUEIL DE NORMES DE LENSEIGNEMENT PRESCOLAIRE EN REPUBLIQUE DEMOCRATIQUE DU CONGO 06.06.2022 FI,Recueil De Normes De Lenseignement Prescolaire En Republique Democratique Du Congo 06.06,https://educrdc.cd/programmes,francais,general,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Cahier-de-lapprenant-_-Francais-CRS-N2.pdf,Cahier de lapprenant   Francais CRS N2,Cahier De Lapprenant   Francais Crs N2,https://educrdc.cd/programmes,francais,CRS,francais,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Manuel-de-lapprenant-_-Francais-CRS-N2.pdf,Manuel de lapprenant   Francais CRS N2,Manuel De Lapprenant   Francais Crs N2,https://educrdc.cd/programmes,francais,CRS,francais,manuel,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
CALENDRIER-SCOLAIRE-2024-2025-REAMENAGE-EN-PDF.pdf,CALENDRIER SCOLAIRE 2024 2025 REAMENAGE EN PDF,Calendrier Scolaire 2024 2025 Reamenage En Pdf,https://educrdc.cd/programmes,francais,general,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Curriculum-Commerciale-et-Gestion.pdf,Curriculum Commerciale et Gestion,Curriculum Commerciale Et Gestion,https://educrdc.cd/programmes,francais,general,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
CURRICULUM-LIVRABLE-SECRETARIAT-ADMINISTRATION.pdf,CURRICULUM LIVRABLE SECRETARIAT ADMINISTRATION,Curriculum Livrable Secretariat Administration,https://educrdc.cd/programmes,francais,general,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Manuel-de-leleve_Alphabetisation-fonctionnelle-2.pdf,Manuel de leleve Alphabetisation fonctionnelle 2,Manuel De Leleve Alphabetisation Fonctionnelle 2,https://educrdc.cd/programmes,francais,general,general,manuel,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Manuel-de-leleve_Alphabetisation-initiale-1.pdf,Manuel de leleve Alphabetisation initiale 1,Manuel De Leleve Alphabetisation Initiale 1,https://educrdc.cd/programmes,francais,general,general,manuel,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
POLITIQUE-MANUELS-SCOLAIRES-VALIDEE-28.02.2017.pdf,POLITIQUE MANUELS SCOLAIRES VALIDEE 28.02.2017,Politique Manuels Scolaires Validee 28.02,https://educrdc.cd/programmes,francais,general,general,manuel,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
