id,titre,source_url,langue,grade_level,matiere,type_doc,file_path,checksum,licence,ingested,validated,notes,cycle,niveau,source,path
doc_0011,GUIDE PE7 MATH COMPLET,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\7eme_EB\maths\GUIDE-PE7-MATH_COMPLET.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\7eme_EB\maths\GUIDE-PE7-MATH_COMPLET.pdf
doc_0012,PE7 MATH,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\7eme_EB\maths\PE7-MATH.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\7eme_EB\maths\PE7-MATH.pdf
doc_0013,GUIDE PE7 SPTTIC,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\7eme_EB\spttic\GUIDE-PE7-SPTTIC.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\7eme_EB\spttic\GUIDE-PE7-SPTTIC.pdf
doc_0014,PE7 SPTTIC,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\7eme_EB\spttic\PE7-SPTTIC.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\7eme_EB\spttic\PE7-SPTTIC.pdf
doc_0015,GUIDE PE7 SVT,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\7eme_EB\svt\GUIDE-PE7-SVT.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\7eme_EB\svt\GUIDE-PE7-SVT.pdf
doc_0016,PE7 SVT,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\7eme_EB\svt\PE7-SVT.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\7eme_EB\svt\PE7-SVT.pdf
doc_0017,MEPST GUIDE PE6 MATH,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\4eme_HS\maths\MEPST_GUIDE_PE6_MATH.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\4eme_HS\maths\MEPST_GUIDE_PE6_MATH.pdf
doc_0018,MEPST Programmes Educatifs 6e Sec 4 HS MATH,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\4eme_HS\maths\MEPST_Programmes-Educatifs_6e-Sec_4-HS_MATH.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\4eme_HS\maths\MEPST_Programmes-Educatifs_6e-Sec_4-HS_MATH.pdf
doc_0019,MEPST GUIDE PE6 SPTIC,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\4eme_HS\spttic\MEPST_GUIDE_PE6_SPTIC.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\4eme_HS\spttic\MEPST_GUIDE_PE6_SPTIC.pdf
doc_0020,MEPST Programmes Educatifs 6e Sec 4 HS SPTIC,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\4eme_HS\spttic\MEPST_Programmes-Educatifs_6e-Sec_4-HS_SPTIC.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\4eme_HS\spttic\MEPST_Programmes-Educatifs_6e-Sec_4-HS_SPTIC.pdf
doc_0021,MEPST GUIDE PE6 SVT,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\4eme_HS\svt\MEPST_GUIDE_PE6_SVT.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\4eme_HS\svt\MEPST_GUIDE_PE6_SVT.pdf
doc_0022,MEPST Programmes Educatifs 6e Sec 4 HS SVT,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\4eme_HS\svt\MEPST_Programmes-Educatifs_6e-Sec_4-HS_SVT.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\4eme_HS\svt\MEPST_Programmes-Educatifs_6e-Sec_4-HS_SVT.pdf
doc_0023,MEPST GUIDE PE5 MATH,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\3eme_HS\maths\MEPST_GUIDE_PE5_MATH.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\3eme_HS\maths\MEPST_GUIDE_PE5_MATH.pdf
doc_0024,MEPST Programmes Educatifs 5e Sec 3 HS MATH,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\3eme_HS\maths\MEPST_Programmes-Educatifs_5e-Sec_3-HS_MATH.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\3eme_HS\maths\MEPST_Programmes-Educatifs_5e-Sec_3-HS_MATH.pdf
doc_0025,MEPST GUIDE PE5 SPTIC,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\3eme_HS\spttic\MEPST_GUIDE_PE5_SPTIC.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\3eme_HS\spttic\MEPST_GUIDE_PE5_SPTIC.pdf
doc_0026,MEPST Programmes Educatifs 5e Sec 3 HS SPTIC,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\3eme_HS\spttic\MEPST_Programmes-Educatifs_5e-Sec_3-HS_SPTIC.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\3eme_HS\spttic\MEPST_Programmes-Educatifs_5e-Sec_3-HS_SPTIC.pdf
doc_0027,MEPST GUIDE PE5 SVT,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\3eme_HS\svt\MEPST_GUIDE_PE5_SVT.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\3eme_HS\svt\MEPST_GUIDE_PE5_SVT.pdf
doc_0028,MEPST Programmes Educatifs 5e Sec 3 HS SVT,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\3eme_HS\svt\MEPST_Programmes-Educatifs_5e-Sec_3-HS_SVT.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\3eme_HS\svt\MEPST_Programmes-Educatifs_5e-Sec_3-HS_SVT.pdf
doc_0029,MEPST GUIDE PE4 MATH,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\2eme_HS\maths\MEPST_GUIDE_PE4_MATH.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\2eme_HS\maths\MEPST_GUIDE_PE4_MATH.pdf
doc_0030,MEPST Programmes Educatifs 4e Sec 2 HS MATH,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\2eme_HS\maths\MEPST_Programmes-Educatifs_4e-Sec_2-HS_MATH.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\2eme_HS\maths\MEPST_Programmes-Educatifs_4e-Sec_2-HS_MATH.pdf
doc_0031,MEPST GUIDE PE4 SPTIC,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\2eme_HS\spttic\MEPST_GUIDE_PE4_SPTIC.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\2eme_HS\spttic\MEPST_GUIDE_PE4_SPTIC.pdf
doc_0032,MEPST Programmes Educatifs 4e Sec 2 HS SPTIC,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\2eme_HS\spttic\MEPST_Programmes-Educatifs_4e-Sec_2-HS_SPTIC.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\2eme_HS\spttic\MEPST_Programmes-Educatifs_4e-Sec_2-HS_SPTIC.pdf
doc_0033,MEPST GUIDE PE4 SVT,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\2eme_HS\svt\MEPST_GUIDE_PE4_SVT.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\2eme_HS\svt\MEPST_GUIDE_PE4_SVT.pdf
doc_0034,MEPST Programmes Educatifs 4e Sec 2 HS SVT,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\2eme_HS\svt\MEPST_Programmes-Educatifs_4e-Sec_2-HS_SVT.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\2eme_HS\svt\MEPST_Programmes-Educatifs_4e-Sec_2-HS_SVT.pdf
doc_0035,MEPST GUIDE  PE3 MATH,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\1ere_HS\maths\MEPST_GUIDE_-PE3_MATH.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\1ere_HS\maths\MEPST_GUIDE_-PE3_MATH.pdf
doc_0036,MEPST Programmes Educatifs 3e Sec 1 HS MATH,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\1ere_HS\maths\MEPST_Programmes-Educatifs_3e-Sec_1-HS_MATH.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\1ere_HS\maths\MEPST_Programmes-Educatifs_3e-Sec_1-HS_MATH.pdf
doc_0037,MEPST GUIDE PE3 SPTIC,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\1ere_HS\spttic\MEPST_GUIDE_PE3_SPTIC.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\1ere_HS\spttic\MEPST_GUIDE_PE3_SPTIC.pdf
doc_0038,MEPST Programmes Educatifs 3e Sec 1 HS SPTIC,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\1ere_HS\spttic\MEPST_Programmes-Educatifs_3e-Sec_1-HS_SPTIC.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\1ere_HS\spttic\MEPST_Programmes-Educatifs_3e-Sec_1-HS_SPTIC.pdf
doc_0039,MEPST GUIDE PE3 SVT,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\1ere_HS\svt\MEPST_GUIDE_PE3_SVT.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\1ere_HS\svt\MEPST_GUIDE_PE3_SVT.pdf
doc_0040,MEPST Programmes Educatifs 3e Sec 1 HS SVT,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\1ere_HS\svt\MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\1ere_HS\svt\MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf
